method,dataset,known_cls_ratio,labeled_ratio,cluster_num_factor,seed,ACC,H-Score,K-ACC,N-ACC,ARI,NMI,args
TAN,hwu,0.25,0.1,1.0,2025,49.03,52.6,69.41,42.34,32.16,67.44,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_hwu_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 55, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""hwu"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""3"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,stackoverflow,0.25,0.1,1.0,2025,31.25,24.95,80.6,14.76,16.64,27.31,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_stackoverflow_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 45, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""stackoverflow"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""4"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,20NG,0.25,0.1,1.0,2025,93.95,95.85,100.0,92.03,92.12,96.57,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_20NG_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""20NG"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""6"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,20NG,0.25,0.1,1.0,2025,97.92,98.61,100.0,97.25,96.07,97.17,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_20NG_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""20NG"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""1"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,DBPedia,0.25,0.1,1.0,2025,75.55,77.19,85.59,70.3,69.88,92.03,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_DBPedia_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 256, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""DBPedia"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""5"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,DBPedia,0.25,0.1,1.0,2025,75.55,77.19,85.59,70.3,69.88,92.03,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_DBPedia_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 256, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""DBPedia"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,20NG,0.25,0.1,1.0,2025,91.8,94.29,100.0,89.19,88.64,94.3,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_20NG_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""20NG"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""4"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,20NG,0.25,0.1,1.0,2025,98.52,99.02,100.0,98.05,97.17,97.89,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_20NG_0.25_0.5_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 512, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""20NG"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,TREC,0.25,0.1,1.0,2025,67.55,46.22,83.43,31.97,72.22,73.21,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_TREC_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 40, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""TREC"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,DBPedia,0.25,0.1,1.0,2025,75.55,77.19,85.59,70.3,69.88,92.03,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_DBPedia_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 256, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""DBPedia"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,DBPedia,0.25,0.1,1.0,2025,75.55,77.19,85.59,70.3,69.88,92.03,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_DBPedia_0.25_0.5_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 256, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""DBPedia"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""7"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,TREC,0.25,0.1,1.0,2025,67.55,46.22,83.43,31.97,72.22,73.21,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_TREC_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 40, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""TREC"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,Yahoo,0.25,0.1,1.0,2025,30.6,32.25,68.75,21.06,11.8,17.97,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_Yahoo_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 128, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""Yahoo"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""3"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,news,0.25,0.1,1.0,2025,52.59,56.15,78.4,43.73,37.4,55.94,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_news_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 500, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""news"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""1"", ""train_batch_size"": 8, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,news,0.25,0.1,1.0,2025,53.47,57.12,78.4,44.92,39.22,57.44,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_news_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 500, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""news"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""1"", ""train_batch_size"": 8, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,TREC,0.25,0.1,1.0,2025,67.55,46.22,83.43,31.97,72.22,73.21,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_TREC_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 40, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""TREC"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""7"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,TREC,0.25,0.1,1.0,2025,67.55,46.22,83.43,31.97,72.22,73.21,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_TREC_0.25_0.5_fold0_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 40, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""TREC"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,Yahoo,0.25,0.1,1.0,2025,30.6,32.25,68.75,21.06,11.8,17.97,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_Yahoo_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 128, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""Yahoo"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""2"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,thucnews,0.25,0.1,1.0,2025,69.54,72.97,92.89,60.08,54.88,67.96,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_thucnews_0.25_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-chinese"", ""max_seq_length"": 500, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""thucnews"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""5"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,banking,0.5,0.1,1.0,2025,57.95,50.8,79.01,37.44,44.22,73.88,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_banking_0.5_0.5_fold3_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 55, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""banking"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.5, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""7"", ""train_batch_size"": 256, ""pretrain_batch_size"": 32, ""eval_batch_size"": 64, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,thucnews,0.25,0.1,1.0,2025,69.54,72.97,92.89,60.08,54.88,67.96,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_thucnews_0.25_0.5_fold1_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-chinese"", ""max_seq_length"": 500, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""thucnews"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""0"", ""train_batch_size"": 16, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
TAN,news,0.25,0.1,1.0,2025,52.25,55.78,78.13,43.37,39.49,57.48,"{""data_dir"": ""./data"", ""pretrain_dir"": ""./outputs/gcd/tan/premodel_news_0.25_0.5_fold2_seed2025"", ""bert_model"": ""./pretrained_models/bert-base-uncased"", ""max_seq_length"": 500, ""feat_dim"": 768, ""warmup_proportion"": 0.1, ""freeze_bert_parameters"": true, ""save_model"": true, ""pretrain"": true, ""dataset"": ""news"", ""beta"": 100.0, ""topk"": 5.0, ""alpha"": 0.8, ""temperature"": 0.07, ""known_cls_ratio"": 0.25, ""cluster_num_factor"": 1.0, ""seed"": 2025, ""labeled_ratio"": 0.1, ""gpu_id"": ""3"", ""train_batch_size"": 8, ""pretrain_batch_size"": 16, ""eval_batch_size"": 32, ""wait_patient"": 20, ""num_pretrain_epochs"": 100.0, ""num_train_epochs"": 50.0, ""lr_pre"": 1e-05, ""lr"": 1e-05, ""fold_num"": 5, ""fold_idx"": 0, ""output_dir"": ""./outputs/gcd/tan"", ""save_results_path"": ""./results/gcd/tan"", ""es_metric"": ""sum"", ""es_patience"": 8, ""es_min_delta"": 0.1, ""save_best"": true, ""config"": ""configs/gcd/tan.yaml""}"
